ID,name,sex,birthday,employee_since,email,phone,IBAN,street,housenumber,city,region,zip_code,country,shop_ID
e4b97d09-cf99-4c8a-a3f7-2b87f9f8f9c0,Kenan Döhn,M,1997-03-14,2020-02-01,kenan.doehn@drunkymonkey.com,+49 9665199560661,DE28927060890471573216,Losekannring,923,Friedberg,Sachsen-Anhalt,26043,DE,33736a3b-de05-4a25-b9d7-7617423ee4ba
292e8bb5-d284-4157-87db-981f04c47428,Ole Hartung,M,1956-05-04,2020-12-25,ole.hartung@drunkymonkey.com,+49 4424413060274,DE12787006817395815570,Radischgasse,39,Zeitz,Bremen,21170,DE,fc48e7af-11eb-4ecb-b452-dcbc65128217
47035047-a9bd-48f0-8c09-bedb1a4e1758,Elif Kuhl,F,1986-03-28,2020-01-07,elif.kuhl@drunkymonkey.com,+49 8640865723236,DE94418560192948778181,Igor-Pieper-Allee,0/8,Rudolstadt,Rheinland-Pfalz,22016,DE,33736a3b-de05-4a25-b9d7-7617423ee4ba
bb30af8c-a4c0-488c-bdd0-fe5ba9e50c9a,Hulda Linke,F,1998-11-10,2021-08-17,hulda.linke@drunkymonkey.com,+49 0583321633117,DE02036126919215342477,Elsa-Metz-Platz,6/5,Stade,Saarland,47400,DE,fc48e7af-11eb-4ecb-b452-dcbc65128217
efce498e-3089-4f9d-a328-d89b8545b0e5,Sophia Baum,F,1984-11-02,2021-06-18,sophia.baum@drunkymonkey.com,+49 0484407814657,DE79922906275687884510,Irmi-Roht-Straße,66,Karben,Schleswig-Holstein,13699,DE,5d24583c-da6e-489e-9b17-87eca813ee9f
e86d6fea-dafb-4b3c-866b-e293855e137b,Flora Heser,F,1999-09-09,2022-02-23,flora.heser@drunkymonkey.com,+49 0845923794374,DE98838304153007838415,Roderich-Wagenknecht-Gasse,901,Bad Honnef,Thüringen,68024,DE,5e634105-c605-4a96-9414-4e1d428b7df7
87e5e4c7-c39b-4956-b62b-23db35b6f092,Guntram Ring,M,2001-05-14,2021-01-16,guntram.ring@drunkymonkey.com,+49 9703035417824,DE41529789019111050188,Stiffelstraße,37,Schwalmtal,Hessen,86904,DE,5d24583c-da6e-489e-9b17-87eca813ee9f
01884193-8020-4460-bb52-43ce4a25aecf,Fadime Schweitzer,F,1996-01-18,2022-03-20,fadime.schweitzer@drunkymonkey.com,+49 2265015244344,DE64532623073338451748,Mälzerweg,3,Oschatz,Saarland,11895,DE,308790a8-d0fa-4b24-b929-0ed579d291ac
c9651049-dfe9-4db8-b00d-16b459c4c6ee,Klaus-Werner Biggen,M,1987-09-25,2021-08-01,klaus-werner.biggen@drunkymonkey.com,+49 1132351186945,DE84281919272549908877,Süßebierallee,8/7,Hechingen,Bayern,58077,DE,fc48e7af-11eb-4ecb-b452-dcbc65128217
c50a6829-f393-4354-9bfa-020e554a84d3,Sieghard Gröttner,M,1960-09-11,2020-11-18,sieghard.groettner@drunkymonkey.com,+49 4947982856839,DE10614523442315545507,Bernhardine-Tintzmann-Straße,33,Halstenbek,Niedersachsen,95072,DE,308790a8-d0fa-4b24-b929-0ed579d291ac
